Orthogroup	paer.final	pflr.final	psyr.final	Total
OG0000000	2	4	3	9
OG0000001	3	3	2	8
OG0000002	3	3	1	7
OG0000003	2	2	2	6
OG0000004	3	1	1	5
OG0000005	2	2	1	5
OG0000006	1	1	2	4
OG0000007	2	1	1	4
OG0000008	1	2	1	4
OG0000009	1	2	1	4
OG0000010	1	1	2	4
OG0000011	1	1	2	4
OG0000012	1	1	1	3
OG0000013	1	1	1	3
OG0000014	1	1	1	3
OG0000015	2	1	0	3
OG0000016	1	1	1	3
OG0000017	1	0	2	3
OG0000018	3	0	0	3
OG0000019	2	1	0	3
OG0000020	1	1	1	3
OG0000021	1	1	1	3
OG0000022	1	1	1	3
OG0000023	1	1	1	3
OG0000024	2	1	0	3
OG0000025	1	1	1	3
OG0000026	1	1	1	3
OG0000027	1	1	1	3
OG0000028	1	1	1	3
OG0000029	1	1	1	3
OG0000030	1	1	1	3
OG0000031	2	1	0	3
OG0000032	1	1	1	3
OG0000033	1	1	1	3
OG0000034	2	1	0	3
OG0000035	1	1	1	3
OG0000036	1	1	1	3
OG0000037	0	1	2	3
OG0000038	0	1	2	3
OG0000039	1	0	1	2
OG0000040	1	1	0	2
OG0000041	1	1	0	2
OG0000042	1	1	0	2
OG0000043	1	1	0	2
OG0000044	1	1	0	2
OG0000045	2	0	0	2
OG0000046	1	1	0	2
OG0000047	1	0	1	2
OG0000048	1	1	0	2
OG0000049	1	1	0	2
OG0000050	1	1	0	2
OG0000051	1	1	0	2
OG0000052	1	1	0	2
OG0000053	1	0	1	2
OG0000054	1	1	0	2
OG0000055	1	1	0	2
OG0000056	2	0	0	2
OG0000057	1	1	0	2
OG0000058	1	0	1	2
OG0000059	1	0	1	2
OG0000060	1	1	0	2
OG0000061	1	1	0	2
OG0000062	1	0	1	2
OG0000063	0	2	0	2
OG0000064	0	1	1	2
OG0000065	0	1	1	2
OG0000066	0	1	1	2
OG0000067	0	2	0	2
OG0000068	0	1	1	2
OG0000069	0	2	0	2
OG0000070	0	1	1	2
OG0000071	0	1	1	2
OG0000072	0	1	1	2
OG0000073	0	1	1	2
OG0000074	0	1	1	2
OG0000075	0	1	1	2
OG0000076	0	1	1	2
OG0000077	0	1	1	2
OG0000078	0	1	1	2
OG0000079	0	1	1	2
OG0000080	0	1	1	2
OG0000081	0	1	1	2
OG0000082	0	1	1	2
OG0000083	0	1	1	2
OG0000084	0	2	0	2
OG0000085	0	1	1	2
OG0000086	0	1	1	2
OG0000087	0	1	1	2
OG0000088	0	1	1	2
OG0000089	0	1	1	2
OG0000090	0	1	1	2
OG0000091	0	1	1	2
OG0000092	0	1	1	2
OG0000093	0	1	1	2
OG0000094	0	0	2	2
OG0000095	0	0	2	2
OG0000096	0	0	2	2
